medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
2013002218,2013002215,VTS,1,,2013-01-01 03:31:00,2013-01-01 03:34:00,1,180,.67,-73.983788,40.731831,-73.976929,40.733738
2013009394,2013009391,CMT,1,N,2013-01-01 03:34:53,2013-01-01 03:43:47,3,534,2.40,-73.943825,40.788761,-73.967583,40.763096
2013004924,2013004921,CMT,1,N,2013-01-01 03:36:43,2013-01-01 03:45:24,3,521,2.20,-73.988686,40.737045,-74.006271,40.711941
2013001852,2013001849,VTS,1,,2013-01-01 03:40:00,2013-01-01 03:47:00,2,420,1.89,-73.991959,40.769367,-73.995239,40.749744
2013008869,2013008865,CMT,1,Y,2013-01-01 03:41:55,2013-01-01 03:54:26,1,750,2.90,-73.969528,40.757202,-73.998657,40.734001
2013009393,2013009390,CMT,1,N,2013-01-01 03:44:56,2013-01-01 03:56:40,1,703,3.20,-73.955307,40.804611,-73.989929,40.774696
2013003964,2013003961,CMT,1,N,2013-01-01 03:47:09,2013-01-01 03:51:03,1,233,.70,-73.988937,40.718842,-73.985115,40.727722
2013003754,2013003751,VTS,1,,2013-01-01 03:50:00,2013-01-01 04:20:00,6,1800,13.51,-73.990822,40.761059,-74.032219,40.635159
2013005290,2013005287,CMT,1,N,2013-01-01 03:52:15,2013-01-01 03:56:35,1,259,.90,-73.99353,40.724609,-74.005898,40.732964
2013009904,2013009904,CMT,1,N,2013-01-01 03:55:16,2013-01-01 04:05:43,1,627,1.70,-74.003906,40.720821,-73.982811,40.7229
2013006924,2013006920,VTS,1,,2013-01-01 03:58:00,2013-01-01 04:13:00,1,900,3.60,-73.988838,40.736649,-73.991081,40.770359
2013005802,2013005799,VTS,1,,2013-01-01 04:01:00,2013-01-01 04:10:00,2,540,1.85,-74.004227,40.747513,-74.002136,40.728043
2013010463,2013010484,VTS,1,,2013-01-01 04:02:00,2013-01-01 04:04:00,1,120,.24,-74.006592,40.741543,-74.007454,40.743156
2013000784,2013000781,VTS,1,,2013-01-01 04:07:00,2013-01-01 04:29:00,1,1320,6.05,-73.983337,40.743649,-73.960236,40.81311
2013005918,2013005914,CMT,1,N,2013-01-01 04:08:15,2013-01-01 04:13:23,1,307,1.20,-74.008553,40.725975,-74.000015,40.738724
2013007328,2013007324,VTS,1,,2013-01-01 04:11:00,2013-01-01 04:18:00,1,420,2.04,-74.003044,40.739086,-73.996185,40.759361
2013008414,2013008410,VTS,1,,2013-01-01 04:14:00,2013-01-01 04:23:00,5,540,3.28,-73.987564,40.744274,-73.956367,40.775585
2013005664,2013005661,CMT,1,N,2013-01-01 04:16:43,2013-01-01 04:24:54,1,491,1.30,-73.982056,40.762218,-73.9823,40.751842
2013002578,2013002575,VTS,1,,2013-01-01 04:20:00,2013-01-01 04:27:00,2,420,1.58,-73.986481,40.743561,-73.994057,40.758774
2013004779,2013004776,VTS,1,,2013-01-01 04:22:00,2013-01-01 04:56:00,5,2040,9.10,-74.006897,40.719189,-73.913116,40.743977
2013005303,2013010762,CMT,5,N,2013-01-01 04:25:10,2013-01-01 04:31:30,3,379,2.60,-73.96653,40.761417,-73.943062,40.794003
2013000460,2013000458,VTS,1,,2013-01-01 04:29:00,2013-01-01 04:51:00,1,1320,5.41,-73.940781,40.711906,-73.947433,40.676731
2013004874,2013004871,VTS,1,,2013-01-01 04:34:00,2013-01-01 04:55:00,2,1260,10.97,-73.983177,40.756802,-73.872498,40.774456
2013002608,2013002605,VTS,1,,2013-01-01 04:37:00,2013-01-01 04:58:00,2,1260,7.91,-73.98484,40.659306,-74.00132,40.74802
2013008200,2013008196,VTS,1,,2013-01-01 04:40:00,2013-01-01 04:46:00,1,360,1.51,-74.005417,40.745979,-73.996361,40.763432
2013003849,2013003846,CMT,1,N,2013-01-01 04:44:55,2013-01-01 04:52:26,1,450,1.40,-73.992805,40.713352,-73.979576,40.723629
2013003976,2013003973,CMT,1,N,2013-01-01 04:47:53,2013-01-01 05:03:02,1,908,3.60,-73.985451,40.763386,-73.976303,40.728668
2013000077,2013000077,CMT,1,N,2013-01-01 04:51:11,2013-01-01 04:54:41,1,209,.60,-73.950737,40.785885,-73.942436,40.786293
2013001044,2013001041,CMT,1,N,2013-01-01 04:53:59,2013-01-01 05:03:55,1,596,2.30,-73.944695,40.794601,-73.94014,40.820034
